year,month,no2_mean,no2_mean_weighted,no2_median,valid_days,mean_pixels
2010,1,4973432980723281.0,4970028101193880.0,4565246519378991.0,16,10.419354838709678
2010,2,5298922636951590.0,5295557483317764.0,5325908618859861.0,16,14.071428571428571
2010,3,4439321084589253.0,4436960578552627.0,4644382127877871.0,23,16.64516129032258
2010,4,3679559688654601.0,3678832859409768.5,4122317128867358.0,23,14.6
2010,5,3736977305284213.5,3736779800118257.5,4296752244142899.0,24,14.161290322580646
2010,6,3061414236578734.0,3060784903434621.5,3108219079141088.0,22,15.4
2010,7,2010569001624400.8,2009993138231160.8,1795298273215953.5,16,6.096774193548387
2010,8,2219532402828522.2,2219384876500887.5,2054852738693347.5,17,6.516129032258065
2010,9,2352566200088105.5,2353139311031841.0,2177086515669353.5,18,8.2
2010,10,3931133113346238.5,3931338674436162.0,4138576754595157.5,23,17.258064516129032
2010,11,6521837616336801.0,6522714967307732.0,6532135256693146.0,18,16.266666666666666
2010,12,7189446827460980.0,7189561669452483.0,7103343859562359.0,19,17.032258064516128
2011,1,5950052347838678.0,5948391626754214.0,5990756597559023.0,18,16.387096774193548
2011,2,4727206784376433.0,4726087223960044.0,5014096527648358.0,19,16.5
2011,3,4885555343487681.0,4886149862149968.0,5011417318101265.0,24,18.548387096774192
2011,4,3569269333401309.0,3570052766485695.5,3545315475770573.0,22,15.333333333333334
2011,5,3519166062713422.0,3519741468912216.0,3647305809047048.0,22,16.387096774193548
2011,6,3199368274004331.5,3199549210551722.5,3038805275705344.0,18,9.9
2011,7,2653937285296201.5,2653254791732532.0,2573640879466086.5,13,6.064516129032258
2011,8,3129334023499828.5,3128489286368372.0,3276971387410373.5,18,10.96774193548387
2011,9,3627847910405024.0,3627990640379089.5,3514103258793756.5,15,12.233333333333333
2011,10,4444715892986256.0,4446067031287639.0,4354197661155328.0,18,12.129032258064516
2011,11,5678623611066372.0,5677010033235950.0,5809058404868773.0,18,13.4
2011,12,7140449038473609.0,7137935105214870.0,6999525299392785.0,20,17.967741935483872
2012,1,5577967938816325.0,5574903219295186.0,5309928589334938.0,26,18.64516129032258
2012,2,4243949231617255.5,4242688850565410.0,4169849084138837.5,17,12.448275862068966
2012,3,4014259708367039.0,4013453410823267.0,4757269085351663.0,26,19.032258064516128
2012,4,3832522220875758.0,3833332574932971.5,3883006273624473.5,25,17.466666666666665
2012,5,4313708586686307.5,4315042041296266.5,4083593363971550.0,24,15.96774193548387
2012,6,3089894788515465.0,3089794937169927.5,3207261768759003.5,20,12.333333333333334
2012,7,2376123690990713.5,2375770931679251.5,2402523777684821.0,24,13.580645161290322
2012,8,2630241765816490.5,2630107322305887.5,2559348716863488.0,22,12.161290322580646
2012,9,2910072939371306.0,2910082222270399.5,2465598003923033.0,24,14.133333333333333
2012,10,3946618476366378.5,3947727283961653.5,4232109740351770.5,23,17.516129032258064
2012,11,5114367466812332.0,5116168588773103.0,4443148939113267.0,19,14.4
2012,12,6404590049063276.0,6401870125456719.0,6265567344420304.0,22,18.580645161290324
2013,1,5619814469579842.0,5617494677409328.0,5666351258463983.0,20,16.70967741935484
2013,2,5293929803560801.0,5291381100901948.0,5700584896523343.0,23,21.571428571428573
2013,3,3669839349434424.5,3668131342695477.5,3643021275465864.5,24,19.419354838709676
2013,4,3659760409694051.0,3658115063394196.0,3548256891441575.5,23,18.533333333333335
2013,5,3697909866843196.5,3698369485102973.5,3334855994568431.0,26,17.580645161290324
2013,6,2913703822230409.0,2913434844603885.5,3071239533258342.5,23,14.033333333333333
2013,7,2594480011204898.5,2594573550822566.0,2843604676090265.5,22,12.483870967741936
2013,8,2474597338481095.5,2473809348550717.0,2526895899864815.0,24,14.516129032258064
2013,9,2588689023197488.0,2587936879968831.5,2284531295814360.0,14,6.366666666666666
2013,10,3180147315663921.5,3180301363346524.0,3065437919396932.5,23,13.35483870967742
2013,11,3821927661926160.0,3821027575964939.0,3293840126299341.0,20,13.533333333333333
2013,12,5563902290195422.0,5560884760834286.0,6185795269876590.0,21,16.838709677419356
2014,1,5093518271270402.0,5092882639905970.0,4843383599455900.0,23,18.225806451612904
2014,2,5291271068444790.0,5289474328495604.0,5335144737343312.0,22,20.785714285714285
2014,3,3574364368698975.5,3572479918225629.0,4066879655326515.0,26,20.967741935483872
2014,4,3340519952127922.5,3340968538398057.5,2868330175904700.0,24,18.4
2014,5,3199232518357732.0,3199218044189824.0,2958234558136320.0,25,12.064516129032258
2014,6,2636646852458976.5,2636472273967638.0,2620630667100160.0,19,11.766666666666667
2014,7,3112324438038596.0,3111161922327067.5,2674179777123045.0,24,13.709677419354838
2014,8,2629863320120768.5,2629371980700820.0,2535791560237903.5,24,16.258064516129032
2014,9,2432463679599075.0,2431431457385202.0,1789546661093732.2,21,10.566666666666666
2014,10,3215219719076618.0,3215910945713791.0,3526942306686293.5,19,9.290322580645162
2014,11,4715460283851864.0,4713683229761945.0,4560222771138712.0,19,12.533333333333333
2014,12,5539615126101334.0,5539647652694132.0,5901773410874163.0,18,12.290322580645162
2015,1,4557706123451880.0,4557156752343062.0,4079594402689843.0,19,13.35483870967742
2015,2,4464752775056719.0,4464991726925564.5,4606437612951962.0,18,13.607142857142858
2015,3,3296771062653147.0,3296004436008472.5,3635837111470552.5,22,15.483870967741936
2015,4,3288831070712451.5,3287991265989585.5,2978688675505766.5,22,17.7
2015,5,2996437433243940.0,2996786868591695.5,3068536092697746.5,23,13.96774193548387
2015,6,3138059967188007.5,3138380918143575.0,2935730909216768.0,20,11.5
2015,7,2840571020732999.0,2839640448655398.5,2956295373691289.5,23,14.580645161290322
2015,8,2597441545423164.0,2597008276617476.5,2732857414560427.0,24,14.225806451612904
2015,9,2659460809481871.0,2658802646924749.0,2503562738829448.5,20,10.833333333333334
2015,10,3608657394162776.0,3608136166956221.5,3501397992048776.5,20,10.03225806451613
2015,11,4368039784963899.5,4366464315378927.0,4124328264536940.0,18,11.3
2015,12,5994650426693915.0,5991003292763279.0,5887964619577754.0,18,13.838709677419354
2016,1,5036524406260844.0,5034689655765328.0,5269253138747665.0,16,12.193548387096774
2016,2,5432995420494062.0,5434068497956363.0,5731290693098974.0,20,16.06896551724138
2016,3,3402853168931600.5,3401109234850771.5,2970373114000066.0,22,15.516129032258064
2016,4,3613294734223670.5,3611014251606222.5,3526525948753783.5,23,16.966666666666665
2016,5,3295428969683845.5,3295367968196764.0,3386454749776008.5,24,16.96551724137931
2016,6,2587237913161952.0,2586803865316179.5,2407191860198331.5,13,13.894736842105264
2016,7,2680733499631168.5,2679629181906586.5,2695777030457012.5,24,14.67741935483871
2016,8,3049285795464474.5,3048358699381500.5,2700871799406592.0,22,13.0
2016,9,2168041286272076.2,2167887794406546.5,2066662963893589.2,23,11.433333333333334
2016,10,3756865549351075.0,3758184090354550.0,3651434670491182.0,18,12.580645161290322
2016,11,3248108249771147.0,3247943852357553.0,3639933227534472.5,15,9.9
2016,12,4874742193723748.0,4873154664998219.0,4715358711709696.0,19,15.709677419354838
2017,1,5960382152396035.0,5958488332255956.0,6544555440882756.0,18,16.129032258064516
2017,2,5109807951088377.0,5107766393660690.0,5090328239966344.0,16,15.321428571428571
2017,3,3777979199309388.0,3778618655600410.5,4148339199600230.5,20,17.25925925925926
2017,4,3678831587458147.5,3679063324224357.5,3606365204851747.5,23,18.966666666666665
2017,5,3669729811061747.5,3669139432458176.5,3544838126785877.5,23,15.225806451612904
2017,6,2826950827504533.5,2826665965381183.5,2748839467417600.0,23,14.766666666666667
2017,7,2509572401545703.0,2508668781982375.5,2527995221260013.0,24,11.838709677419354
2017,8,2747849396928977.0,2747534046569281.0,2549309379706880.0,20,13.129032258064516
2017,9,2435295036797587.0,2434828374379564.0,2437156672297838.0,18,8.833333333333334
2017,10,3554122146657286.5,3554248385333931.0,2822236127747550.0,19,11.419354838709678
2017,11,5343855913653443.0,5344960239670824.0,5099583248007168.0,18,15.9
2017,12,5734603636532003.0,5731757517233318.0,5883339367059729.0,18,15.193548387096774
2018,1,6529633374451956.0,6529752723497084.0,4615088505400883.0,16,12.580645161290322
2018,2,5268422715118204.0,5266317363935038.0,5379107207861590.0,16,14.142857142857142
2018,3,3989721038073444.5,3988676536729228.0,3966776930293077.5,24,19.032258064516128
2018,4,3876537222620236.5,3876587244257873.5,3465659478581794.0,23,16.333333333333332
2018,5,3748152366718421.0,3748437473278309.5,3904343492194031.0,23,18.64516129032258
2018,6,2876729823058648.5,2875797119832961.5,3252442203748140.0,21,12.866666666666667
2018,7,2975208438339839.5,2974664661296875.5,3190426609027588.5,24,18.032258064516128
2018,8,2508372694257814.5,2507936346633631.0,1978087604486144.0,23,13.129032258064516
2018,9,2086415169354069.5,2085701001858156.0,2164484781427759.5,22,13.3
2018,10,2360249891160901.0,2359326828086592.5,2043441226469061.0,20,8.387096774193548
2018,11,3544463403127794.0,3543210109303630.0,3110546345820160.0,15,10.333333333333334
2018,12,4679445941520375.0,4677029082316845.0,4153521393054515.0,18,13.548387096774194
2019,1,4928118462922594.0,4925993015596368.0,4055424890306560.0,19,13.709677419354838
2019,2,3941913252185053.5,3940138011215564.5,4147556755730887.0,17,15.464285714285714
2019,3,3725744100025916.5,3724175923558939.0,3850639641344763.0,22,18.903225806451612
2019,4,3262369240561860.5,3261430624186874.5,3277770164205744.0,24,20.366666666666667
2019,5,3480462240835939.5,3480048419600244.0,3658905382097169.0,24,18.580645161290324
2019,6,2494502624730788.0,2494260091055766.0,2462883741672168.5,23,13.333333333333334
2019,7,2320894955247935.5,2320387115680790.5,2234083930904985.5,20,12.419354838709678
2019,8,2829104591752456.5,2828332002481010.5,3035278665755307.0,24,18.258064516129032
2019,9,2344897956509788.5,2344299187012040.5,2279161899927268.5,22,13.633333333333333
2019,10,3287816360850260.0,3287693938883204.0,3185502758350838.5,16,10.903225806451612
2019,11,3664137331868690.0,3663532469036693.5,2945218859915334.5,18,12.6
2019,12,3775653691561966.5,3775191768298650.5,3966702909775326.0,19,15.290322580645162
2020,1,4345388020525979.0,4343861216573651.5,3939435365898649.5,19,13.838709677419354
2020,2,4156978322592749.5,4155667367626272.5,4329923821067984.5,17,14.862068965517242
2020,3,3728836805178027.0,3727944513275387.0,3783417274215082.5,25,21.70967741935484
2020,4,2216721710433418.2,2216621697507344.2,2363319387558311.5,25,21.3
2020,5,2556585084278421.0,2557420072374006.0,2602516030806173.5,25,16.258064516129032
2020,6,2105374593653263.2,2104869611804851.2,2153126436598192.5,24,16.5
2020,7,2411306780221173.0,2410327121853559.5,2679702692106513.0,25,16.29032258064516
2020,8,2124945584821837.5,2124604318116978.5,2120840655897886.8,23,11.258064516129032
2020,9,2027885011791103.5,2027898894341223.2,1986712514540339.2,20,10.033333333333333
2020,10,3143316833161270.5,3143408313033055.5,2923362699723844.0,20,17.29032258064516
2020,11,3727295834888978.0,3727674673748860.0,3731111303568862.0,18,15.333333333333334
2020,12,4251776524701599.0,4249614447826229.5,3785978489602048.0,20,15.96774193548387
2021,1,5126161323584709.0,5124069640834271.0,5016203501030604.0,18,13.903225806451612
2021,2,4223036903377710.0,4221348253456656.0,4303256254047846.0,18,17.071428571428573
2021,3,3467810378119136.5,3466846574369354.0,3704013228268397.5,25,22.129032258064516
2021,4,2975731966480248.5,2975412402218627.5,3158671416343484.0,24,19.766666666666666
2021,5,2929620841835367.0,2929198894692667.0,3127328531347244.0,25,17.225806451612904
2021,6,1613018954895882.2,1612503464874824.5,2032951365730304.0,17,7.366666666666666
2021,7,1989831456644924.0,1989407162288706.8,1849564600293898.5,26,14.32258064516129
2021,8,1956499413706653.2,1956173993829075.8,1711682060899669.2,21,12.67741935483871
2021,9,1910684723244261.8,1910288964352440.2,2022531316492970.5,24,11.7
2021,10,2203146233012575.0,2203147512782568.2,2396529469015836.5,22,12.903225806451612
2021,11,3737355552236394.5,3738042432706537.0,3991721201009576.0,18,14.933333333333334
2021,12,4486151126546305.0,4485343713906332.0,4802344364190379.0,20,16.032258064516128
2022,1,4670655505474040.0,4669379992368823.0,3918390973501713.0,18,14.516129032258064
2022,2,3673490922285608.5,3672275567349909.5,4081547287409459.0,18,15.678571428571429
2022,3,3144685676280681.5,3143553771579085.5,3185751164803263.0,24,21.161290322580644
2022,4,2254204622048761.0,2255619546068654.5,2707500751126528.0,24,20.133333333333333
2022,5,2618855335027970.0,2619893549222796.5,2705579428390239.0,26,22.225806451612904
2022,6,2408744888590300.0,2408512606294977.0,2269223637718070.0,21,12.966666666666667
2022,7,1459716474384980.2,1460317844004425.0,1518343993845350.5,25,13.580645161290322
2022,8,1685592344311195.0,1686093274614106.0,1399460575438750.5,24,13.548387096774194
2022,9,1276356995105642.0,1277082089080645.8,1453183664744082.5,22,11.333333333333334
2022,10,2297530258507599.0,2297909122039559.5,2208978095029179.8,22,13.0
2022,11,3228537969077785.5,3228051700157521.5,2636483133278680.5,19,15.4
2022,12,4182295847185449.5,4181271290929202.5,4031942550321015.5,19,14.580645161290322
2023,1,5378654882328353.0,5376834807850732.0,5076815209177634.0,20,17.483870967741936
2023,2,4377741825643257.0,4376334963776663.5,4540630270563669.0,15,14.892857142857142
2023,3,3220315050278047.0,3219098640976200.5,3769806599330202.0,26,20.419354838709676
2023,4,1827560671429130.5,1827574483335784.2,2087354136360029.0,25,19.2
2023,5,1754768015546046.5,1756045582168300.0,2475792444542996.0,26,13.838709677419354
2023,6,2029539417391796.2,2029886276980888.8,2497798566960606.0,22,18.6
2023,7,2108156943385290.8,2107189348753261.8,1943215138808354.0,24,15.612903225806452
2023,8,2040933807562351.8,2040301143991477.5,2433007198762077.0,23,12.870967741935484
2023,9,2103660425859070.8,2103619563709924.0,2077781154216920.0,26,20.8
2023,10,3067011747081173.5,3066698226907844.0,2908454951599164.0,21,12.935483870967742
2023,11,3953012436059981.0,3952502136914363.5,3981098133697331.0,21,16.866666666666667
2023,12,3904823619058735.0,3903551255127729.0,4151861330013623.0,18,12.766666666666667
2024,1,3558934087529011.0,3557613074361413.0,3329846075859490.0,19,15.161290322580646
2024,2,3546521244780340.5,3544994368937109.5,4213430323755963.5,17,14.642857142857142
2024,3,3379995204448486.0,3377762063465251.0,3819915606823185.0,27,22.741935483870968
2024,4,2321081658518039.0,2319983376458423.0,2390952675329544.5,26,21.1
2024,5,2403268153308512.5,2402997139954832.0,2503180087931699.0,28,21.387096774193548
2024,6,1771949525355493.0,1772041649649306.2,1872179524831368.5,24,15.9
2024,7,1793698126131750.0,1793127867867610.0,1652330614017228.8,25,12.096774193548388
2024,8,1677184987395455.2,1677156011698947.8,1882314707007351.5,25,17.741935483870968
2024,9,840200555906974.5,840380993970562.0,661261285331009.0,22,11.0
2024,10,2162314595216016.8,2163615111233752.0,2628289839776836.5,19,11.161290322580646
2024,11,4169633394450144.0,4170529458796849.0,4350861362136912.0,18,16.0
2024,12,5163855635671156.0,5163635984690736.0,4975965862627968.0,20,15.580645161290322
